cluster_id,avg_score,std_score,n_nasabah,low_score_share,top_segments
1,0.010676817549139331,0.006262395939538275,107,1.0,"Ekspedisi Kecil|Region 2, Furniture|Region 2"
35,0.03669146723368831,0.007450420953494021,113,1.0,"Peternakan Ayam|Region 3, Peternakan Ayam|Region 4"
25,0.51688,0.044947568020614226,125,0.032,"Peternakan Ayam|Region 4, Peternakan Ayam|Region 2"
3,0.8987910447761194,0.003391331701571792,67,0.0,"Jasa Konstruksi Kecil|Region 3, Konveksi|Region 3"
4,0.8469242424242424,0.0013394672426649578,66,0.0,"Distributor Hasil Tani|Region 1, Peternakan Ayam|Region 4"
0,0.8279210526315789,0.002121403044495065,76,0.0,"Ekspedisi Kecil|Region 2, Distributor Bahan Bangunan|Region 1"
2,0.6398108108108108,0.005619622362575956,74,0.0,"Distributor Hasil Tani|Region 2, Ekspedisi Kecil|Region 1"
6,0.8750526315789474,0.0022867713721031694,57,0.0,"Bengkel|Region 1, Restoran|Region 3"
5,0.81015625,0.001663985939348395,64,0.0,"Distributor Hasil Tani|Region 2, Ekspedisi Kecil|Region 4"
7,0.86865625,0.001545282118383825,64,0.0,"Bakery|Region 3, Distributor Hasil Tani|Region 1"
8,0.8617605633802817,0.0021278076492846107,71,0.0,"Ekspedisi Kecil|Region 1, Peternakan Ayam|Region 2"
11,0.7113783783783784,0.0027632753183505763,74,0.0,"Rental Kendaraan|Region 2, Ekspedisi Kecil|Region 3"
12,0.6197419354838709,0.0056042591644797045,62,0.0,"Ekspedisi Kecil|Region 1, Grosir Pakaian|Region 3"
9,0.7982542372881356,0.001409245583685598,59,0.0,"Konveksi|Region 1, Distributor Hasil Tani|Region 4"
10,0.6993333333333333,0.003952751247453145,111,0.0,"Distributor Hasil Tani|Region 4, Furniture|Region 1"
15,0.6772459016393444,0.002342760036829213,61,0.0,"Ekspedisi Kecil|Region 2, Pengolahan Makanan Ringan|Region 2"
16,0.7204507042253522,0.0023101560392218994,71,0.0,"Peternakan Ayam|Region 4, Distributor Hasil Tani|Region 4"
17,0.7300394736842105,0.0028352109361794247,76,0.0,"Distributor Hasil Tani|Region 4, Peternakan Ayam|Region 3"
18,0.8225283018867924,0.0015640648912480686,53,0.0,"Ekspedisi Kecil|Region 3, Bengkel|Region 2"
19,0.8040898876404495,0.0020485052723554966,89,0.0,"Ekspedisi Kecil|Region 2, Konveksi|Region 2"
20,0.7385263157894736,0.0017839088617605007,57,0.0,"Pengolahan Makanan Ringan|Region 3, Bakery|Region 1"
13,0.8353723404255319,0.002418495233547564,94,0.0,"Ekspedisi Kecil|Region 1, Rental Kendaraan|Region 1"
14,0.8168260869565217,0.0020931015667659003,69,0.0,"Distributor Hasil Tani|Region 3, Peternakan Ayam|Region 3"
22,0.6655584415584416,0.004011475337255379,77,0.0,"Ekspedisi Kecil|Region 2, Konveksi|Region 1"
21,0.7921408450704226,0.002092816111284982,71,0.0,"Distributor Hasil Tani|Region 2, Rental Kendaraan|Region 4"
24,0.77575,0.0031288134626740825,96,0.0,"Peternakan Ayam|Region 1, Distributor Hasil Tani|Region 4"
23,0.9455079365079365,0.013720567344463848,63,0.0,"Rental Kendaraan|Region 1, Toko Alat Tulis|Region 3"
27,0.8420357142857142,0.0014265570213156452,56,0.0,"Ekspedisi Kecil|Region 3, Pengolahan Makanan Ringan|Region 2"
28,0.6540181818181818,0.002928094495356565,55,0.0,"Rental Kendaraan|Region 1, Katering|Region 2"
29,0.885551724137931,0.003863642857710077,116,0.0,"Distributor Hasil Tani|Region 4, Rental Kendaraan|Region 2"
26,0.7661772151898734,0.0027257532182767092,79,0.0,"Rental Kendaraan|Region 4, Peternakan Ayam|Region 2"
30,0.854065934065934,0.0027519778657144464,91,0.0,"Ekspedisi Kecil|Region 4, Ekspedisi Kecil|Region 2"
31,0.7439814814814815,0.001460043172542634,54,0.0,"Toko Sembako|Region 2, Distributor Hasil Tani|Region 4"
33,0.754859649122807,0.0042652686539015605,114,0.0,"Distributor Hasil Tani|Region 3, Peternakan Ayam|Region 2"
32,0.9145394736842106,0.006982723039948798,76,0.0,"Rental Kendaraan|Region 3, Ekspedisi Kecil|Region 2"
34,0.6873382352941176,0.0032672517737029907,68,0.0,"Distributor Hasil Tani|Region 4, Ekspedisi Kecil|Region 3"
36,0.5809518072289156,0.007900144510036473,83,0.0,"Distributor Hasil Tani|Region 1, Restoran|Region 2"
37,0.6030178571428572,0.004029396848293663,56,0.0,"Ekspedisi Kecil|Region 4, Rental Kendaraan|Region 2"
38,0.7851529411764706,0.002050005123994414,85,0.0,"Konveksi|Region 2, Konveksi|Region 4"
